transponderId,serialNumber,status,issueDate,deviceType,assignedVehicleId
TRP-1001,SN-880231,Active,2023-02-14,RFID-Gen2,VEH-001
TRP-1002,SN-880232,Active,2023-02-14,RFID-Gen2,VEH-002
TRP-1003,SN-880233,Active,2023-03-01,RFID-Gen3,VEH-003
TRP-1004,SN-880234,Faulty,2022-11-20,RFID-Gen2,VEH-004
TRP-1005,SN-880235,Active,2023-05-09,RFID-Gen3,VEH-005
TRP-1006,SN-880236,Active,2021-09-17,RFID-Gen2,VEH-006
TRP-1007,SN-880237,Active,2023-07-22,BLE-Beacon,VEH-007
TRP-1008,SN-880238,Active,2023-07-22,BLE-Beacon,VEH-008
TRP-1009,SN-880239,In Stock,2024-01-10,RFID-Gen3,
TRP-1010,SN-880240,In Stock,2024-01-10,RFID-Gen3,
TRP-1011,SN-880241,Active,2024-02-18,Hybrid,VEH-009
TRP-1012,SN-880242,Active,2020-12-05,RFID-Gen2,VEH-010
TRP-1013,SN-880243,Active,2024-04-02,Hybrid,VEH-011
TRP-1014,SN-880244,In Stock,2024-04-02,Hybrid,
